LAT	ALT	Response
0.16	0.91	5
1.77	0.91	5
3.38	0.91	5
4.99	0.91	5
6.6	0.91	5
9	0.91	2
13	0.91	1
17	0.91	0
22	0.91	0
30	0.91	0
0.16	1.52	5
1.77	1.52	5
3.38	1.52	5
4.99	1.52	3
6.6	1.52	4
9	1.52	3
13	1.52	1
17	1.52	2
22	1.52	0
30	1.52	0
0.16	3.05	5
1.77	3.05	5
3.38	3.05	5
4.99	3.05	5
6.6	3.05	4
9	3.05	4
13	3.05	1
17	3.05	0
22	3.05	0
30	3.05	0
0.16	4.57	5
1.77	4.57	4
3.38	4.57	5
4.99	4.57	5
6.6	4.57	5
9	4.57	5
13	4.57	0
17	4.57	1
22	4.57	3
30	4.57	0
